Date,WeekNumber,WeeklyHs,WeeklyTp,WeeklyWaveDir,WeeklyWindSpd,WeeklyWindDir
29-Nov,48,4.049,10.640,278.460,10.550,270.624
30-Nov,48,4.049,10.640,278.460,10.550,270.624
1-Dec,48,4.049,10.640,278.460,10.550,270.624
2-Dec,48,4.049,10.640,278.460,10.550,270.624
3-Dec,49,4.799,10.744,277.935,12.291,266.140
4-Dec,49,4.799,10.744,277.935,12.291,266.140
5-Dec,49,4.799,10.744,277.935,12.291,266.140
6-Dec,49,4.799,10.744,277.935,12.291,266.140
7-Dec,49,4.799,10.744,277.935,12.291,266.140
8-Dec,49,4.799,10.744,277.935,12.291,266.140
9-Dec,49,4.799,10.744,277.935,12.291,266.140
10-Dec,50,3.684,10.318,274.848,9.647,257.087
11-Dec,50,3.684,10.318,274.848,9.647,257.087
12-Dec,50,3.684,10.318,274.848,9.647,257.087
13-Dec,50,3.684,10.318,274.848,9.647,257.087
14-Dec,50,3.684,10.318,274.848,9.647,257.087
15-Dec,50,3.684,10.318,274.848,9.647,257.087
16-Dec,50,3.684,10.318,274.848,9.647,257.087
17-Dec,51,3.540,10.773,270.030,9.581,239.179
18-Dec,51,3.540,10.773,270.030,9.581,239.179
19-Dec,51,3.540,10.773,270.030,9.581,239.179
20-Dec,51,3.540,10.773,270.030,9.581,239.179
21-Dec,51,3.540,10.773,270.030,9.581,239.179
22-Dec,51,3.540,10.773,270.030,9.581,239.179
23-Dec,51,3.540,10.773,270.030,9.581,239.179
24-Dec,52,3.497,10.384,269.903,9.553,233.888
25-Dec,52,3.497,10.384,269.903,9.553,233.888
26-Dec,52,3.497,10.384,269.903,9.553,233.888
27-Dec,52,3.497,10.384,269.903,9.553,233.888
28-Dec,52,3.497,10.384,269.903,9.553,233.888
29-Dec,52,3.497,10.384,269.903,9.553,233.888
30-Dec,52,3.497,10.384,269.903,9.553,233.888
31-Dec,53,3.717,10.210,269.723,9.470,290.585
